Name,Games Played,Games Started,Complete Games,Inn,Ch,Putouts,A,Errors,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,RF/9,RF/G,Age,Position,Total Salary,Contract Length,Average Yearly Salary,PA,AB,Runs Scored,Hits,2B,3B,HR,RBI,SB,CS_y,BB,SO_x,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP_x,SH,SF,W,L,W-L%,ERA,G,GF,SV,IP,Hits Allowed,Runs Allowed,ER,Home Runs Allowed,BB Allowed,SO,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Status_Arbitration Year 2,Status_Arbitration Year 3,Status_Pre-Arbitration,Status_Veteran
AJ Smith-Shawver,6,5,0,25.1,3,2,1,0,0,1.0,0.0,0.0,-1,-8,1.07,0.5,20,RP,720000,1,720000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.26,6.0,0.0,0.0,25.1,17.0,14.0,12.0,7.0,11.0,20.0,105.0,105.0,6.69,1.105,6.0,2.5,3.9,7.1,1.82,0,0,1,0
Jesse Chavez,36,1,0,34.2,6,1,4,1,1,0.833,0.0,0.0,0,0,1.3,0.14,39,RP,1200000,1,1200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.56,36.0,7.0,1.0,34.2,26.0,10.0,6.0,2.0,12.0,39.0,144.0,287.0,3.05,1.096,6.8,0.5,3.1,10.1,3.25,0,0,0,1
Brad Hand,20,0,0,18.0,4,0,4,0,0,1.0,0.0,0.0,0,0,2.0,0.2,33,RP,2000000,1,2000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.5,7.5,20.0,4.0,1.0,18.0,19.0,15.0,15.0,2.0,6.0,18.0,79.0,60.0,4.03,1.389,9.5,1.0,3.0,9.0,3.0,0,0,0,1
Kirby Yates,61,0,0,60.1,8,3,4,1,0,0.875,0.0,0.0,-1,-3,1.04,0.11,36,RP,8250000,2,4125000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.778,3.28,61.0,16.0,5.0,60.1,35.0,22.0,22.0,9.0,37.0,80.0,254.0,136.0,4.63,1.193,5.2,1.3,5.5,11.9,2.16,0,0,0,1
A.J. Minter,70,0,0,64.2,6,1,5,0,0,1.0,0.0,0.0,-1,-3,0.84,0.09,29,RP,4287500,1,4287500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.333,3.76,70.0,19.0,10.0,64.2,56.0,28.0,27.0,6.0,21.0,82.0,260.0,118.0,2.9,1.191,7.8,0.8,2.9,11.4,3.9,0,1,0,0
Collin McHugh,41,1,0,58.2,9,4,5,0,1,1.0,0.0,0.0,0,0,1.38,0.22,36,RP,10000000,2,5000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.8,4.3,41.0,6.0,0.0,58.2,70.0,34.0,28.0,5.0,22.0,47.0,268.0,104.0,4.09,1.568,10.7,0.8,3.4,7.2,2.14,0,0,0,1
Dylan Lee,24,1,0,23.2,2,1,1,0,0,1.0,0.0,0.0,0,0,0.76,0.08,28,RP,730000,1,730000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.18,24.0,2.0,0.0,23.2,24.0,14.0,11.0,4.0,8.0,24.0,101.0,107.0,4.44,1.352,9.1,1.5,3.0,9.1,3.0,0,0,1,0
Pierce Johnson,24,0,0,23.2,4,2,2,0,0,1.0,0.0,0.0,0,0,1.52,0.17,32,RP,5000000,1,5000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.76,24.0,2.0,0.0,23.2,16.0,6.0,2.0,3.0,5.0,32.0,89.0,591.0,2.83,0.887,6.1,1.1,1.9,12.2,6.4,0,0,0,1
Joe Jimenez,59,0,0,56.1,3,1,2,0,0,1.0,0.0,0.0,-1,-4,0.48,0.05,28,RP,2765000,1,2765000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.04,59.0,16.0,0.0,56.1,51.0,22.0,19.0,9.0,14.0,73.0,238.0,147.0,3.59,1.154,8.1,1.4,2.2,11.7,5.21,0,0,0,1
Max Fried,14,14,1,77.2,15,6,7,2,0,0.867,0.0,0.0,-2,-5,1.51,0.93,29,SP,13500000,1,13500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.889,2.55,14.0,0.0,0.0,77.2,70.0,24.0,22.0,7.0,18.0,80.0,311.0,174.0,3.14,1.133,8.1,0.8,2.1,9.3,4.44,0,1,0,0
Dylan Dodd,7,7,0,34.1,1,0,1,0,0,1.0,0.0,0.0,0,0,0.26,0.14,25,SP,720000,1,720000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.5,7.6,7.0,0.0,0.0,34.1,53.0,29.0,29.0,9.0,12.0,15.0,164.0,59.0,6.92,1.893,13.9,2.4,3.1,3.9,1.25,0,0,1,0
Kyle Wright,9,7,0,31.0,8,3,4,1,1,0.875,0.0,0.0,0,0,2.03,0.78,27,SP,750000,1,750000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.25,6.97,9.0,1.0,0.0,31.0,40.0,26.0,24.0,5.0,17.0,34.0,155.0,64.0,5.19,1.839,11.6,1.5,4.9,9.9,2.0,0,0,1,0
Michael Soroka,7,6,0,32.1,1,0,1,0,0,1.0,0.0,0.0,0,0,0.28,0.14,25,SP,2800000,1,2800000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.5,6.4,7.0,0.0,0.0,32.1,36.0,23.0,23.0,9.0,12.0,29.0,145.0,70.0,6.56,1.485,10.0,2.5,3.3,8.1,2.42,0,1,0,0
Spencer Strider,32,32,0,186.2,20,5,15,0,0,1.0,0.0,0.0,0,0,0.96,0.63,24,SP,75000000,6,12500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,5.0,0.8,3.86,32.0,0.0,0.0,186.2,146.0,85.0,80.0,22.0,58.0,281.0,763.0,115.0,2.85,1.093,7.0,1.1,2.8,13.5,4.84,0,0,0,1
Kolby Allard,4,3,0,12.1,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,25,SP,750000,1,750000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.57,4.0,1.0,0.0,12.1,16.0,9.0,9.0,2.0,4.0,13.0,56.0,69.0,4.23,1.622,11.7,1.5,2.9,9.5,3.25,0,0,1,0
Charlie Morton,30,30,0,163.1,24,5,18,1,1,0.958,0.0,0.0,-1,-1,1.27,0.77,39,SP,20000000,1,20000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,12.0,0.538,3.64,30.0,0.0,0.0,163.1,150.0,70.0,66.0,14.0,83.0,183.0,716.0,122.0,3.87,1.427,8.3,0.8,4.6,10.1,2.2,0,0,0,1
Bryce Elder,31,31,0,174.2,25,10,15,0,4,1.0,0.0,0.0,0,0,1.29,0.81,24,SP,720000,1,720000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,0.75,3.81,31.0,0.0,0.0,174.2,160.0,79.0,74.0,19.0,63.0,128.0,732.0,116.0,4.42,1.277,8.2,1.0,3.2,6.6,2.03,0,0,1,0
