Name,G_x,GS_x,CG_x,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,PB,WP_x,SB_x,CS_x,CS%,lgCS%,PO.1,Age_x,Position_x,Status_x,Total Salary_x,Contract Length_x,Average Yearly Salary_x,G_y,PA,AB,R_x,H_x,2B,3B,HR_x,RBI,SB_y,CS_y,BB_x,SO_x,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP_x,SH,SF,IBB_x,Age_y,Position_y,Status_y,Total Salary_y,Contract Length_y,Average Yearly Salary_y,W,L,W-L%,ERA,G,GS_y,GF,CG_y,SHO,SV,IP,H_y,R_y,ER,HR_y,BB_y,IBB_y,SO_y,HBP_y,BK,WP_y,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Age,Position,Status,Total Salary,Contract Length,Average Yearly Salary
Dylan Dodd,7,7,0,34.1,1,0,1,0,0,1.0,,,0,0,0.0,0.26,0.14,,1.0,2.0,1.0,33%,19%,0.0,25,SP,Pre-Arbitration,720000,1,720000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0.5,7.6,7.0,7.0,0.0,0.0,0.0,0.0,34.1,53.0,29.0,29.0,9.0,12.0,1.0,15.0,1.0,0.0,1.0,164.0,59.0,6.92,1.893,13.9,2.4,3.1,3.9,1.25,25.0,SP,Pre-Arbitration,720000.0,1.0,720000.0
Spencer Strider,32,32,0,186.2,20,5,15,0,0,1.0,,,0,0,0.0,0.96,0.63,,6.0,19.0,2.0,10%,19%,0.0,24,SP,Veteran,75000000,6,12500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,5.0,0.8,3.86,32.0,32.0,0.0,0.0,0.0,0.0,186.2,146.0,85.0,80.0,22.0,58.0,1.0,281.0,9.0,2.0,6.0,763.0,115.0,2.85,1.093,7.0,1.1,2.8,13.5,4.84,24.0,SP,Veteran,75000000.0,6.0,12500000.0
Kolby Allard,4,3,0,12.1,0,0,0,0,0,,,,0,0,,0.0,0.0,,1.0,1.0,0.0,0%,19%,0.0,25,SP,Pre-Arbitration,750000,1,750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,6.57,4.0,3.0,1.0,0.0,0.0,0.0,12.1,16.0,9.0,9.0,2.0,4.0,0.0,13.0,0.0,0.0,1.0,56.0,69.0,4.23,1.622,11.7,1.5,2.9,9.5,3.25,25.0,SP,Pre-Arbitration,750000.0,1.0,750000.0
Ronald Acuna Jr.,157,157,147,1361.0,296,281,10,5,1,0.983,6.0,5.0,-2,-2,1.0,1.92,1.84,,,,,,,,25,OF,Veteran,100000000,8,12500000,159.0,735.0,643.0,149.0,217.0,35.0,4.0,41.0,106.0,73.0,14.0,80.0,84.0,0.337,0.416,0.596,1.012,168.0,383.0,15.0,9.0,0.0,3.0,3.0,25.0,OF,Veteran,100000000.0,8.0,12500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ozzie Albies,148,148,146,1314.0,587,211,368,8,79,0.986,7.0,6.0,0,0,0.0,3.97,3.91,,,,,,,,26,IF,Veteran,35000000,7,5000000,148.0,660.0,596.0,96.0,167.0,30.0,5.0,33.0,109.0,13.0,1.0,46.0,107.0,0.28,0.336,0.513,0.849,124.0,306.0,9.0,8.0,0.0,8.0,2.0,26.0,IF,Veteran,35000000.0,7.0,5000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orlando Arcia,139,136,134,1210.0,518,184,322,12,69,0.977,-1.0,-1.0,-6,-6,1.0,3.76,3.64,,,,,,,,28,IF,Veteran,7300000,3,2433333,139.0,533.0,488.0,66.0,129.0,25.0,0.0,17.0,65.0,1.0,0.0,39.0,102.0,0.264,0.321,0.42,0.741,98.0,205.0,14.0,3.0,0.0,3.0,0.0,28.0,IF,Veteran,7300000.0,3.0,2433333.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travis d'Arnaud,63,59,56,530.0,580,563,12,5,1,0.991,-4.0,-10.0,0,0,-1.0,9.76,8.1,1.0,25.0,55.0,8.0,13%,19%,1.0,34,C,Veteran,8000000,1,8000000,74.0,292.0,267.0,31.0,60.0,13.0,0.0,11.0,39.0,0.0,0.0,21.0,67.0,0.225,0.288,0.397,0.685,82.0,106.0,6.0,3.0,0.0,1.0,0.0,34.0,C,Veteran,8000000.0,1.0,8000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vaughn Grissom,23,20,19,179.0,68,22,40,6,8,0.912,-8.0,-51.0,-7,-47,-1.0,3.12,2.7,,,,,,,,22,IF,Pre-Arbitration,720000,1,720000,23.0,80.0,75.0,5.0,21.0,3.0,1.0,0.0,9.0,0.0,1.0,2.0,15.0,0.28,0.313,0.347,0.659,78.0,26.0,2.0,2.0,0.0,1.0,0.0,22.0,IF,Pre-Arbitration,720000.0,1.0,720000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Harris II,138,137,133,1205.0,316,306,8,2,2,0.994,-8.0,-8.0,2,2,1.0,2.35,2.28,,,,,,,,22,OF,Veteran,72000000,8,9000000,138.0,539.0,505.0,76.0,148.0,33.0,3.0,18.0,57.0,20.0,4.0,25.0,101.0,0.293,0.331,0.477,0.808,114.0,241.0,8.0,5.0,1.0,3.0,1.0,22.0,OF,Veteran,72000000.0,8.0,9000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam Hilliard,31,19,15,187.0,38,38,0,0,0,1.0,-2.0,-16.0,1,6,2.0,1.83,1.12,,,,,,,,29,OF,Pre-Arbitration,750000,1,750000,40.0,78.0,72.0,15.0,17.0,5.0,0.0,3.0,6.0,4.0,0.0,6.0,33.0,0.236,0.295,0.431,0.725,92.0,31.0,1.0,0.0,0.0,0.0,0.0,29.0,OF,Pre-Arbitration,750000.0,1.0,750000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sean Murphy,102,98,93,866.0,959,919,30,10,2,0.99,-1.0,-1.0,8,11,1.0,9.86,8.87,3.0,30.0,69.0,19.0,22%,19%,1.0,28,C,Veteran,73000000,6,12166667,108.0,438.0,370.0,65.0,93.0,21.0,0.0,21.0,68.0,0.0,0.0,49.0,98.0,0.251,0.365,0.478,0.844,125.0,177.0,18.0,18.0,0.0,1.0,0.0,28.0,C,Veteran,73000000.0,6.0,12166667.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Olson,162,162,159,1426.0,1298,1194,96,8,124,0.994,6.0,5.0,8,7,3.0,8.14,7.96,,,,,,,,29,IF,Veteran,168000000,8,21000000,162.0,720.0,608.0,127.0,172.0,27.0,3.0,54.0,139.0,1.0,0.0,104.0,167.0,0.283,0.389,0.604,0.993,162.0,367.0,13.0,4.0,0.0,4.0,8.0,29.0,IF,Veteran,168000000.0,8.0,21000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcell Ozuna,2,2,1,14.0,3,3,0,0,0,1.0,0.0,34.0,-1,-86,0.0,1.93,0.02,,,,,,,,32,OF,Veteran,65000000,4,16250000,144.0,592.0,530.0,84.0,145.0,29.0,1.0,40.0,100.0,0.0,0.0,57.0,134.0,0.274,0.346,0.558,0.905,138.0,296.0,9.0,3.0,0.0,2.0,1.0,32.0,OF,Veteran,65000000.0,4.0,16250000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Pillar,77,42,33,424.0,104,102,1,1,0,0.99,2.0,6.0,2,6,0.0,2.19,1.29,,,,,,,,34,OF,Veteran,3000000,1,3000000,81.0,206.0,197.0,29.0,45.0,10.0,0.0,9.0,32.0,4.0,1.0,6.0,50.0,0.228,0.248,0.416,0.664,74.0,82.0,2.0,0.0,0.0,3.0,0.0,34.0,OF,Veteran,3000000.0,1.0,3000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin Riley,159,159,158,1412.0,393,95,287,11,38,0.972,13.0,11.0,9,8,1.0,2.43,2.4,,,,,,,,26,IF,Veteran,212000000,8,21200000,159.0,715.0,636.0,117.0,179.0,32.0,3.0,37.0,97.0,3.0,1.0,59.0,172.0,0.281,0.345,0.516,0.861,128.0,328.0,18.0,9.0,0.0,11.0,4.0,26.0,IF,Veteran,212000000.0,8.0,21200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eddie Rosario,130,122,90,1057.0,231,223,4,4,1,0.983,6.0,7.0,3,3,-1.0,1.93,1.62,,,,,,,,31,OF,Veteran,18000000,2,9000000,142.0,516.0,478.0,64.0,122.0,24.0,3.0,21.0,74.0,3.0,4.0,34.0,122.0,0.255,0.305,0.45,0.755,100.0,215.0,13.0,1.0,1.0,2.0,1.0,31.0,OF,Veteran,18000000.0,2.0,9000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forrest Wall,9,2,2,30.0,8,8,0,0,0,1.0,0.0,16.0,0,0,0.0,2.4,0.67,,,,,,,,27,OF,Pre-Arbitration,720000,1,720000,15.0,15.0,13.0,6.0,6.0,2.0,0.0,1.0,2.0,5.0,1.0,2.0,4.0,0.462,0.533,0.846,1.379,264.0,11.0,0.0,0.0,0.0,0.0,0.0,27.0,OF,Pre-Arbitration,720000.0,1.0,720000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
